timestamp,temparature,humidity,pressure
2025-12-13 20:55:53,32.801,34.7,1014.977
2025-12-13 20:55:58,32.970,34.9,1014.982
2025-12-13 20:56:03,32.839,34.6,1014.955
2025-12-13 20:56:08,32.801,34.7,1014.988
2025-12-13 20:56:13,32.914,34.7,1015.000
2025-12-13 20:56:18,32.914,34.8,1014.945
2025-12-13 20:56:23,32.876,34.9,1014.967
2025-12-13 20:56:28,32.839,34.7,1014.986
2025-12-13 20:56:33,32.876,34.6,1014.964
2025-12-13 20:56:38,32.745,34.8,1014.961
2025-12-13 20:56:43,32.857,34.8,1014.988
2025-12-13 20:56:48,32.745,34.8,1014.977
2025-12-13 20:56:53,32.764,34.8,1014.989
2025-12-13 20:56:58,32.670,34.3,1015.022
2025-12-13 20:57:03,32.782,34.8,1015.003
2025-12-13 20:57:08,32.651,34.9,1014.947
2025-12-13 20:57:13,32.782,35.0,1014.964
2025-12-13 20:57:18,32.707,34.9,1015.015
2025-12-13 20:57:23,32.651,34.9,1014.974
2025-12-13 20:57:28,32.558,34.9,1014.951
2025-12-13 20:57:33,32.764,35.0,1014.960
2025-12-13 20:57:38,32.839,35.0,1015.026
2025-12-13 20:57:43,32.782,35.1,1014.961
2025-12-13 20:57:48,32.707,35.2,1014.966
2025-12-13 20:57:53,32.689,35.1,1015.052
2025-12-13 20:57:58,32.539,34.9,1014.985
2025-12-13 20:58:03,32.726,36.6,1014.949
2025-12-13 20:58:08,32.595,35.1,1015.081
2025-12-13 20:58:13,32.689,35.1,1015.062
2025-12-13 20:58:18,32.670,35.2,1014.979
2025-12-13 20:58:23,32.726,35.1,1014.915
2025-12-13 20:58:28,32.633,35.0,1014.970
2025-12-13 20:58:33,32.633,35.3,1015.006
2025-12-13 20:58:38,32.520,35.1,1014.958
2025-12-13 20:58:43,32.576,34.9,1014.987
2025-12-13 20:58:48,32.483,34.9,1014.963
2025-12-13 20:58:53,32.408,34.9,1015.003
2025-12-13 20:58:58,32.520,35.2,1014.974
2025-12-13 20:59:03,32.408,35.1,1015.019
2025-12-13 20:59:08,32.539,35.0,1014.993
2025-12-13 20:59:13,32.277,35.1,1015.050
2025-12-13 20:59:18,32.295,35.4,1014.963
2025-12-13 20:59:23,32.183,35.1,1014.930
2025-12-13 20:59:28,32.352,36.4,1014.962
2025-12-13 20:59:33,32.239,35.1,1015.033
2025-12-13 20:59:38,32.183,35.2,1014.955
2025-12-13 20:59:43,32.183,34.9,1014.921
2025-12-13 20:59:48,32.333,35.1,1014.996
2025-12-13 20:59:53,32.183,35.1,1014.996
2025-12-13 20:59:58,32.164,35.3,1014.982
2025-12-13 21:00:03,32.164,35.2,1015.064
2025-12-13 21:00:08,32.052,35.0,1015.013
2025-12-13 21:00:13,32.164,34.7,1015.033
2025-12-13 21:00:18,32.239,35.1,1015.057
2025-12-13 21:00:23,32.071,35.3,1014.961
2025-12-13 21:00:28,32.089,35.3,1015.067
2025-12-13 21:00:33,32.127,35.3,1014.981
2025-12-13 21:00:39,32.127,35.2,1014.999
2025-12-13 21:00:44,32.089,35.3,1015.003
2025-12-13 21:00:49,32.071,35.2,1014.986
2025-12-13 21:00:54,32.052,35.1,1015.019
2025-12-13 21:00:59,32.033,37.0,1015.020
2025-12-13 21:01:04,31.958,35.5,1015.028
2025-12-13 21:01:09,32.014,35.5,1015.012
2025-12-13 21:01:14,31.996,35.5,1015.008
2025-12-13 21:01:19,31.865,35.4,1015.004
2025-12-13 21:01:24,32.014,35.6,1014.993
2025-12-13 21:01:29,32.014,35.5,1015.062
2025-12-13 21:01:34,31.846,35.7,1014.951
2025-12-13 21:01:39,32.014,35.7,1014.979
2025-12-13 21:01:44,31.846,36.7,1015.025
2025-12-13 21:01:49,31.771,35.7,1015.031
2025-12-13 21:01:54,32.108,35.8,1015.018
2025-12-13 21:01:59,31.752,35.9,1014.998
2025-12-13 21:02:04,31.752,35.9,1015.000
2025-12-13 21:02:09,31.808,35.7,1015.009
2025-12-13 21:02:14,31.846,36.0,1015.039
2025-12-13 21:02:19,31.921,36.0,1014.993
2025-12-13 21:02:24,31.902,35.8,1015.021
2025-12-13 21:02:29,31.865,36.0,1015.040
