timestamp,temparature,humidity
2025-12-16 02:42:23,38.027,32.4
2025-12-16 02:42:29,38.233,32.5
2025-12-16 02:42:34,38.477,32.5
2025-12-16 02:42:39,38.458,32.4
2025-12-16 02:42:44,38.608,32.5
2025-12-16 02:42:49,38.646,32.0
2025-12-16 02:42:54,38.720,31.8
2025-12-16 02:42:59,38.852,32.2
2025-12-16 02:43:04,38.758,31.9
2025-12-16 02:43:09,38.870,31.8
2025-12-16 02:43:14,38.889,31.8
2025-12-16 02:43:19,38.964,31.5
2025-12-16 02:43:24,39.039,31.4
2025-12-16 02:43:29,39.245,31.9
2025-12-16 02:43:34,39.226,31.4
2025-12-16 02:43:39,39.357,31.3
2025-12-16 02:43:44,39.376,31.3
2025-12-16 02:43:49,39.301,30.9
2025-12-16 02:43:54,39.507,31.2
2025-12-16 02:43:59,39.526,31.0
2025-12-16 02:44:04,39.582,31.1
2025-12-16 02:44:09,39.657,30.9
2025-12-16 02:44:14,39.620,30.8
2025-12-16 02:44:19,39.713,30.8
2025-12-16 02:44:24,39.788,30.5
2025-12-16 02:44:29,39.751,30.7
2025-12-16 02:44:34,39.863,30.6
2025-12-16 02:44:39,39.901,30.5
2025-12-16 02:44:44,39.938,30.5
2025-12-16 02:44:49,39.919,30.3
2025-12-16 02:44:54,40.125,30.4
2025-12-16 02:44:59,40.107,30.2
2025-12-16 02:45:04,40.107,30.3
2025-12-16 02:45:09,40.200,30.3
2025-12-16 02:45:14,40.238,30.1
2025-12-16 02:45:19,40.238,30.6
2025-12-16 02:45:24,40.275,30.1
2025-12-16 02:45:29,40.163,30.2
2025-12-16 02:45:34,40.256,30.2
2025-12-16 02:45:39,40.275,30.3
2025-12-16 02:45:44,40.256,29.8
2025-12-16 02:45:49,40.331,29.8
2025-12-16 02:45:54,40.388,29.9
2025-12-16 02:45:59,40.369,30.0
2025-12-16 02:46:04,40.238,29.7
2025-12-16 02:46:09,40.350,30.0
2025-12-16 02:46:14,40.294,29.7
2025-12-16 02:46:19,40.444,29.6
